[SYS] 2025/01/31 - 00:15:49 | One API v0.6.8 started 
[SYS] 2025/01/31 - 07:54:05 | server started on http://localhost:3000 
[GIN] 2025/01/31 - 08:06:10 | 2025013108060773929990874574928 | 200 |  2.775339368s |       127.0.0.1 |     GET /v1/models
[GIN] 2025/01/31 - 08:08:25 | 2025013108081446413224888477473 | 200 | 11.474539009s |       127.0.0.1 |     GET /v1/models
[SYS] 2025/01/31 - 10:01:35 | One API v0.6.8 started 
[SYS] 2025/01/31 - 10:01:35 | using MySQL as database 
[SYS] 2025/01/31 - 10:01:36 | database migration started 
[SYS] 2025/01/31 - 10:02:21 | database migrated 
[SYS] 2025/01/31 - 10:02:22 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 10:02:22 | using theme berry 
[SYS] 2025/01/31 - 10:02:22 | initializing token encoders 
[SYS] 2025/01/31 - 10:02:23 | token encoders initialized 
[SYS] 2025/01/31 - 10:02:23 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 13:46:21 | One API v0.6.8 started 
[SYS] 2025/01/31 - 13:46:21 | using MySQL as database 
[SYS] 2025/01/31 - 13:46:23 | database migration started 
[SYS] 2025/01/31 - 13:46:56 | database migrated 
[SYS] 2025/01/31 - 13:46:57 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 13:46:57 | using theme berry 
[SYS] 2025/01/31 - 13:46:57 | initializing token encoders 
[SYS] 2025/01/31 - 13:46:58 | token encoders initialized 
[SYS] 2025/01/31 - 13:46:58 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 16:03:56 | One API v0.6.8 started 
[SYS] 2025/01/31 - 16:03:56 | using MySQL as database 
[SYS] 2025/01/31 - 16:04:00 | database migration started 
[SYS] 2025/01/31 - 16:04:48 | database migrated 
[SYS] 2025/01/31 - 16:04:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 16:04:49 | using theme berry 
[SYS] 2025/01/31 - 16:04:49 | initializing token encoders 
[SYS] 2025/01/31 - 16:04:50 | token encoders initialized 
[SYS] 2025/01/31 - 16:04:50 | server started on http://localhost:3000 
[GIN] 2025/01/31 - 17:41:49 | 2025013117414622469591819043341 | 200 |  2.825034266s |       127.0.0.1 |     GET /v1/models
[SYS] 2025/01/31 - 18:19:19 | One API v0.6.8 started 
[SYS] 2025/01/31 - 18:19:19 | using MySQL as database 
[FATAL] 2025/01/31 - 18:19:31 | [failed to initialize database: invalid connection] 
[SYS] 2025/01/31 - 20:25:28 | One API v0.6.8 started 
[SYS] 2025/01/31 - 20:25:28 | using MySQL as database 
[SYS] 2025/01/31 - 20:25:28 | database migration started 
[SYS] 2025/01/31 - 20:25:38 | database migrated 
[SYS] 2025/01/31 - 20:25:38 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 20:25:38 | using theme berry 
[SYS] 2025/01/31 - 20:25:38 | initializing token encoders 
[SYS] 2025/01/31 - 20:25:39 | token encoders initialized 
[SYS] 2025/01/31 - 20:25:39 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 22:44:48 | One API v0.6.8 started 
[SYS] 2025/01/31 - 22:44:48 | using MySQL as database 
[SYS] 2025/01/31 - 22:44:49 | database migration started 
[SYS] 2025/01/31 - 22:45:33 | database migrated 
[SYS] 2025/01/31 - 22:45:34 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 22:45:34 | using theme berry 
[SYS] 2025/01/31 - 22:45:34 | initializing token encoders 
[SYS] 2025/01/31 - 22:45:35 | token encoders initialized 
[SYS] 2025/01/31 - 22:45:35 | server started on http://localhost:3000 
