[SYS] 2025/01/29 - 01:18:51 | One API v0.6.8 started 
[SYS] 2025/01/29 - 18:06:10 | using MySQL as database 
[SYS] 2025/01/29 - 18:06:13 | database migration started 
[SYS] 2025/01/29 - 18:07:17 | database migrated 
[SYS] 2025/01/29 - 18:07:17 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 18:07:17 | using theme berry 
[SYS] 2025/01/29 - 18:07:17 | initializing token encoders 
[SYS] 2025/01/29 - 18:07:18 | token encoders initialized 
[SYS] 2025/01/29 - 18:07:18 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 20:46:48 | One API v0.6.8 started 
[SYS] 2025/01/29 - 20:46:48 | using MySQL as database 
[SYS] 2025/01/29 - 20:46:50 | database migration started 
[SYS] 2025/01/29 - 20:48:18 | database migrated 
[SYS] 2025/01/29 - 20:48:19 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 20:48:19 | using theme berry 
[SYS] 2025/01/29 - 20:48:19 | initializing token encoders 
[SYS] 2025/01/29 - 20:48:20 | token encoders initialized 
[SYS] 2025/01/29 - 20:48:20 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 23:21:28 | One API v0.6.8 started 
[SYS] 2025/01/29 - 23:21:28 | using MySQL as database 
[SYS] 2025/01/29 - 23:21:28 | database migration started 
[SYS] 2025/01/29 - 23:21:32 | database migrated 
[SYS] 2025/01/29 - 23:21:32 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 23:21:32 | using theme berry 
[SYS] 2025/01/29 - 23:21:32 | initializing token encoders 
[SYS] 2025/01/29 - 23:21:32 | token encoders initialized 
[SYS] 2025/01/29 - 23:21:32 | server started on http://localhost:3000 
